# ImageNet + OpenImages + PASCAL VOC +
# CamVid + CityScapes + Kitti +
# COCO + COCO stuff

# Format:
# pascal idx : normalized label name : R,G,B

0:background:0,0,0
2001:accordion:176,112,32
2002:adhesive_tape:48,240,32
2003:aeroplane:176,240,32
2004:aircraft:48,112,160
2005:airplane:176,112,160
2006:alarm_clock:48,240,160
2007:alpaca:176,240,160
2008:ambulance:112,112,32
2009:animal:240,112,32
2010:ant:112,240,32
2011:antelope:240,240,32
2012:apple:112,112,160
2013:armadillo:240,112,160
2014:artichoke:112,240,160
2015:asparagus:240,240,160
2016:axe:48,48,96
2017:baby_bed:176,48,96
2018:backpack:48,176,96
2019:bagel:176,176,96
2020:balance_beam:48,48,224
2021:ball:176,48,224
2022:balloon:48,176,224
2023:banana:176,176,224
2024:band_aid:112,48,96
2025:banjo:240,48,96
2026:banner:112,176,96
2027:barge:240,176,96
2028:barrel:112,48,224
2029:baseball:240,48,224
2030:baseball_bat:112,176,224
2031:baseball_glove:240,176,224
2032:basketball:48,112,96
2033:bat:176,112,96
2034:bathing_cap:48,240,96
2035:bathroom_cabinet:176,240,96
2036:bathtub:48,112,224
2037:beaker:176,112,224
2038:bear:48,240,224
2039:bed:176,240,224
2040:bee:112,112,96
2041:beehive:240,112,96
2042:beer:112,240,96
2043:beetle:240,240,96
2044:bell_pepper:112,112,224
2045:belt:240,112,224
2046:bench:112,240,224
2047:bg:240,240,224
2048:bicycle:0,0,16
2049:bicycle_helmet:128,0,16
2050:bicycle_wheel:0,128,16
2051:bidet:128,128,16
2052:billboard:0,0,144
2053:billiard_table:128,0,144
2054:binder:0,128,144
2055:binoculars:128,128,144
2056:bird:64,0,16
2057:blanket:192,0,16
2058:blender:64,128,16
2059:blue_jay:192,128,16
2060:boat:64,0,144
2061:book:192,0,144
2062:bookcase:64,128,144
2063:bookshelf:192,128,144
2064:boot:0,64,16
2065:bottle:128,64,16
2066:bow:0,192,16
2067:bow_and_arrow:128,192,16
2068:bow_tie:0,64,144
2069:bowl:128,64,144
2070:box:0,192,144
2071:boy:128,192,144
2072:branch:64,64,16
2073:brassiere:192,64,16
2074:bread:64,192,16
2075:bridge:192,192,16
2076:briefcase:64,64,144
2077:broccoli:192,64,144
2078:bronze_sculpture:64,192,144
2079:brown_bear:192,192,144
2080:building:0,0,80
2081:building_other:128,0,80
2082:bull:0,128,80
2083:burrito:128,128,80
2084:bus:0,0,208
2085:bush:128,0,208
2086:bust:0,128,208
2087:butterfly:128,128,208
2088:cabbage:64,0,80
2089:cabinet:192,0,80
2090:cabinetry:64,128,80
2091:cage:192,128,80
2092:cake:64,0,208
2093:cake_stand:192,0,208
2094:camel:64,128,208
2095:camera:192,128,208
2096:can_opener:0,64,80
2097:canary:128,64,80
2098:candle:0,192,80
2099:candy:128,192,80
2100:cannon:0,64,208
2101:canoe:128,64,208
2102:car:0,192,208
2103:caravan:128,192,208
2104:cardboard:64,64,80
2105:carnivore:192,64,80
2106:carpet:64,192,80
2107:carrot:192,192,80
2108:cart:64,64,208
2109:castle:192,64,208
2110:cat:64,192,208
2111:caterpillar:192,192,208
2112:cattle:32,0,16
2113:ceiling_fan:160,0,16
2114:ceiling_other:32,128,16
2115:ceiling_tile:160,128,16
2116:cell_phone:32,0,144
2117:cello:160,0,144
2118:centipede:32,128,144
2119:chain_saw:160,128,144
2120:chair:96,0,16
2121:cheetah:224,0,16
2122:chest_of_drawers:96,128,16
2123:chicken:224,128,16
2124:chime:96,0,144
2125:chopsticks:224,0,144
2126:christmas_tree:96,128,144
2127:clock:224,128,144
2128:cloth:32,64,16
2129:clothes:160,64,16
2130:clouds:32,192,16
2131:coat:160,192,16
2132:cocktail:32,64,144
2133:cocktail_shaker:160,64,144
2134:coconut:32,192,144
2135:coffee:160,192,144
2136:coffee_cup:96,64,16
2137:coffee_maker:224,64,16
2138:coffee_table:96,192,16
2139:coffeemaker:224,192,16
2140:coin:96,64,144
2141:common_fig:224,64,144
2142:computer_keyboard:96,192,144
2143:computer_monitor:224,192,144
2144:computer_mouse:32,0,80
2145:construction:160,0,80
2146:convenience_store:32,128,80
2147:cookie:160,128,80
2148:corded_phone:32,0,208
2149:corkscrew:160,0,208
2150:couch:32,128,208
2151:counter:160,128,208
2152:countertop:96,0,80
2153:cow:224,0,80
2154:cowboy_hat:96,128,80
2155:crab:224,128,80
2156:cream:96,0,208
2157:cricket_ball:224,0,208
2158:crocodile:96,128,208
2159:croissant:224,128,208
2160:croquet_ball:32,64,80
2161:crosswalk:160,64,80
2162:crown:32,192,80
2163:crutch:160,192,80
2164:cucumber:32,64,208
2165:cup:160,64,208
2166:cup_or_mug:32,192,208
2167:cupboard:160,192,208
2168:curtain:96,64,80
2169:cutting_board:224,64,80
2170:cyclist:96,192,80
2171:dagger:224,192,80
2172:deer:96,64,208
2173:desk:224,64,208
2174:desk_stuff:96,192,208
2175:dessert:224,192,208
2176:diaper:0,32,16
2177:dice:128,32,16
2178:digital_clock:0,160,16
2179:dining_table:128,160,16
2180:diningtable:0,32,144
2181:dinosaur:128,32,144
2182:dirt:0,160,144
2183:dishwasher:128,160,144
2184:dog:64,32,16
2185:dog_bed:192,32,16
2186:doll:64,160,16
2187:dolphin:192,160,16
2188:domestic_cat:64,32,144
2189:dontcare:192,32,144
2190:donut:64,160,144
2191:door:192,160,144
2192:door_handle:0,96,16
2193:door_stuff:128,96,16
2194:doughnut:0,224,16
2195:dragonfly:128,224,16
2196:drawer:0,96,144
2197:dress:128,96,144
2198:drink:0,224,144
2199:drinking_straw:128,224,144
2200:drum:64,96,16
2201:duck:192,96,16
2202:dumbbell:64,224,16
2203:dynamic:192,224,16
2204:eagle:64,96,144
2205:earrings:192,96,144
2206:egg:64,224,144
2207:electric_fan:192,224,144
2208:elephant:0,32,80
2209:envelope:128,32,80
2210:eye_glasses:0,160,80
2211:face_powder:128,160,80
2212:falcon:0,32,208
2213:fedora:128,32,208
2214:fence:0,160,208
2215:fence_guard:128,160,208
2216:fig:64,32,80
2217:filing_cabinet:192,32,80
2218:finish:64,160,80
2219:fire_hydrant:192,160,80
2220:fireplace:64,32,208
2221:fish:192,32,208
2222:flag:64,160,208
2223:flashlight:192,160,208
2224:floor_marble:0,96,80
2225:floor_other:128,96,80
2226:floor_stone:0,224,80
2227:floor_tile:128,224,80
2228:floor_wood:0,96,208
2229:flower:128,96,208
2230:flower_pot:0,224,208
2231:flowerpot:128,224,208
2232:flute:64,96,80
2233:fog:192,96,80
2234:food_other:64,224,80
2235:food_processor:192,224,80
2236:football:64,96,208
2237:football_helmet:192,96,208
2238:footwear:64,224,208
2239:fork:192,224,208
2240:fountain:32,32,16
2241:fox:160,32,16
2242:french_fries:32,160,16
2243:french_horn:160,160,16
2244:frisbee:32,32,144
2245:frog:160,32,144
2246:fruit:32,160,144
2247:frying_pan:160,160,144
2248:furniture:96,32,16
2249:furniture_other:224,32,16
2250:gas_stove:96,160,16
2251:giant_panda:224,160,16
2252:giraffe:96,32,144
2253:girl:224,32,144
2254:glasses:96,160,144
2255:glove:224,160,144
2256:goat:32,96,16
2257:goggles:160,96,16
2258:goldfish:32,224,16
2259:golf_ball:160,224,16
2260:golf_cart:32,96,144
2261:golfcart:160,96,144
2262:gondola:32,224,144
2263:goose:160,224,144
2264:grape:96,96,16
2265:grapefruit:224,96,16
2266:grass:96,224,16
2267:gravel:224,224,16
2268:ground:96,96,144
2269:ground_other:224,96,144
2270:guacamole:96,224,144
2271:guitar:224,224,144
2272:hair_brush:32,32,80
2273:hair_drier:160,32,80
2274:hair_dryer:32,160,80
2275:hair_spray:160,160,80
2276:hamburger:32,32,208
2277:hammer:160,32,208
2278:hamster:32,160,208
2279:handbag:160,160,208
2280:handgun:96,32,80
2281:harbor_seal:224,32,80
2282:harmonica:96,160,80
2283:harp:224,160,80
2284:harpsichord:96,32,208
2285:hat:224,32,208
2286:hat_with_a_wide_brim:96,160,208
2287:head_cabbage:224,160,208
2288:headphones:32,96,80
2289:helicopter:160,96,80
2290:helmet:32,224,80
2291:high_heels:160,224,80
2292:hill:32,96,208
2293:hippopotamus:160,96,208
2294:home_appliance:32,224,208
2295:honeycomb:160,224,208
2296:horizontal_bar:96,96,80
2297:horn:224,96,80
2298:horse:96,224,80
2299:hot_dog:224,224,80
2300:hotdog:96,96,208
2301:house:224,96,208
2302:houseplant:96,224,208
2303:human:224,224,208
2304:human_arm:0,0,48
2305:human_beard:128,0,48
2306:human_ear:0,128,48
2307:human_eye:128,128,48
2308:human_face:0,0,176
2309:human_foot:128,0,176
2310:human_hair:0,128,176
2311:human_hand:128,128,176
2312:human_head:64,0,48
2313:human_leg:192,0,48
2314:human_mouth:64,128,48
2315:human_nose:192,128,48
2316:ice_cream:64,0,176
2317:ignore:192,0,176
2318:infant_bed:64,128,176
2319:insect:192,128,176
2320:invertebrate:0,64,48
2321:ipod:128,64,48
2322:isopod:0,192,48
2323:jacket:128,192,48
2324:jaguar:0,64,176
2325:jeans:128,64,176
2326:jellyfish:0,192,176
2327:jet_ski:128,192,176
2328:jug:64,64,48
2329:juice:192,64,48
2330:kangaroo:64,192,48
2331:kettle:192,192,48
2332:keyboard:64,64,176
2333:kitchen_appliance:192,64,176
2334:kitchen_dining_room_table:64,192,176
2335:kitchen_knife:192,192,176
2336:kite:0,0,112
2337:knife:128,0,112
2338:koala_bear:0,128,112
2339:ladder:128,128,112
2340:ladle:0,0,240
2341:ladybug:128,0,240
2342:lamp:0,128,240
2343:land_vehicle:128,128,240
2344:lantern:64,0,112
2345:laptop:192,0,112
2346:lavender:64,128,112
2347:leaves:192,128,112
2348:lemon:64,0,240
2349:leopard:192,0,240
2350:license_plate:64,128,240
2351:lifejacket:192,128,240
2352:light:0,64,112
2353:light_bulb:128,64,112
2354:light_switch:0,192,112
2355:lighthouse:128,192,112
2356:lily:0,64,240
2357:limousine:128,64,240
2358:lion:0,192,240
2359:lipstick:128,192,240
2360:lizard:64,64,112
2361:lobster:192,64,112
2362:loveseat:64,192,112
2363:luggage_and_bags:192,192,112
2364:lynx:64,64,240
2365:maillot:192,64,240
2366:man:64,192,240
2367:mango:192,192,240
2368:maple:32,0,48
2369:maraca:160,0,48
2370:marine_invertebrates:32,128,48
2371:marine_mammal:160,128,48
2372:mat:32,0,176
2373:measuring_cup:160,0,176
2374:mechanical_fan:32,128,176
2375:metal:160,128,176
2376:microphone:96,0,48
2377:microwave:224,0,48
2378:microwave_oven:96,128,48
2379:milk_can:224,128,48
2380:miniskirt:96,0,176
2381:mirror:224,0,176
2382:mirror_stuff:96,128,176
2383:misc:224,128,176
2384:missile:32,64,48
2385:mixer:160,64,48
2386:mobile_phone:32,192,48
2387:monkey:160,192,48
2388:moss:32,64,176
2389:moths_and_butterflies:160,64,176
2390:motorbike:32,192,176
2391:motorcycle:160,192,176
