Scope,Resource,Context,Ownership,Limit,Method,URL,Group,Membership,[No Role],Worker,User,Business,Admin,Worker,Supervisor,Maintainer,Owner,Comment
Create ,Storage,Sandbox,N/A,,POST,/cloudstorages,User,N/A,,,x,x,x,,,,,
Create,Storage,Organization,N/A,,POST,/cloudstorages,User,Supervisor,,,x,x,x,,x,x,x,Any user with User or Business or Admin roles can create a storage if at the same time the user has Developer or Maintainer or Owner roles in the organization.
List ,Storage,Sandbox,None,,GET,/cloudstorages,Admin,N/A,,,,,x,,,,,
List ,Storage,Sandbox,Owner,,GET,/cloudstorages,None,N/A,x,x,x,x,x,,,,,
List ,Storage,Organization,None,,GET,/cloudstorages,User,Maintainer,,,x,x,x,,,x,x,
List ,Storage,Organization,Owner,,GET,/cloudstorages,None,Worker,x,x,x,x,x,x,x,x,x,
View ,Storage,Sandbox,None,,GET,/cloudstorages/{id},Admin,N/A,,,,,x,,,,,
View ,Storage,Sandbox,Owner,,GET,/cloudstorages/{id},None,N/A,x,x,x,x,x,,,,,
View ,Storage,Organization,None,,GET,/cloudstorages/{id},User,Maintainer,,,x,x,x,,,x,x,
View ,Storage,Organization,Owner,,GET,/cloudstorages/{id},None,Worker,x,x,x,x,x,x,x,x,x,
Update,Storage,Sandbox,None,,PATCH,/cloudstorages/{id},Admin,N/A,,,,,x,,,,,
Update,Storage,Sandbox,Owner,,PATCH,/cloudstorages/{id},Worker,N/A,,x,x,x,x,,,,,
Update,Storage,Organization,None,,PATCH,/cloudstorages/{id},User,Maintainer,,,x,x,x,,,x,x,
Update,Storage,Organization,Owner,,PATCH,/cloudstorages/{id},Worker,Worker,,x,x,x,x,x,x,x,x,
Delete ,Storage,Sandbox,None,,DELETE,/cloudstorages/{id},Admin,N/A,,,,,x,,,,,
Delete ,Storage,Sandbox,Owner,,DELETE,/cloudstorages/{id},Worker,N/A,,x,x,x,x,,,,,
Delete ,Storage,Organization,None,,DELETE,/cloudstorages/{id},Admin,Owner,,,,,x,,,,x,"Admin is an owner of any organization by general rules definition. Thus the policy will always true, if admin tries to delete a storage in context of an organization."
Delete ,Storage,Organization,Owner,,DELETE,/cloudstorages/{id},Worker,Worker,,x,x,x,x,x,x,x,x,
List content,Storage,Sandbox,None,,GET,/cloudstorages/{id}/content,Admin,N/A,,,,,x,,,,,
List content,Storage,Sandbox,Owner,,GET,/cloudstorages/{id}/content,None,N/A,x,x,x,x,x,,,,,
List content,Storage,Organization,None,,GET,/cloudstorages/{id}/content,User,Maintainer,,,x,x,x,,,x,x,
List content,Storage,Organization,Owner,,GET,/cloudstorages/{id}/content,None,Worker,x,x,x,x,x,x,x,x,x,
