Scope,Resource,Context,Ownership,Limit,Method,URL,Group,Membership,[No Role],Worker,User,Business,Admin,Worker,Supervisor,Maintainer,Owner,Comment
Create,Comment,Sandbox,None,,POST,/comments,Admin,N/A,,,,,x,,,,,
Create,Comment,Sandbox,"Project owner, Task owner, Project assignee, Task assignee, Job assignee, Issue owner",,POST,/comments,Worker,N/A,,x,x,x,x,,,,,
Create,Comment,Organization,None,,POST,/comments,User,Maintainer,,,x,x,x,,,x,x,
Create,Comment,Organization,"Project owner, Task owner, Project assignee, Task assignee, Job assignee, Issue owner",,POST,/comments,Worker,Worker,,x,x,x,x,x,x,x,x,
Update message,Comment,Sandbox,None,,PATCH,/comments/{id},Admin,N/A,,,,,x,,,,,
Update message,Comment,Sandbox,"Project owner, Task owner, Project assignee, Task assignee, Job assignee, Owner, Issue owner",,PATCH,/comments/{id},Worker,N/A,,x,x,x,x,,,,,
Update message,Comment,Organization,None,,PATCH,/comments/{id},User,Maintainer,,,x,x,x,,,x,x,
Update message,Comment,Organization,"Project owner, Task owner, Project assignee, Task assignee, Job assignee, Owner, Issue owner",,PATCH,/comments/{id},Worker,Worker,,x,x,x,x,x,x,x,x,
Delete,Comment,Sandbox,None,,DELETE,/comments/{id},Admin,N/A,,,,,x,,,,,
Delete,Comment,Sandbox,"Project owner, Task owner, Project assignee, Task assignee, Job assignee, Owner, Issue owner",,DELETE,/comments/{id},Worker,N/A,,x,x,x,x,,,,,
Delete,Comment,Organization,None,,DELETE,/comments/{id},User,Maintainer,,,x,x,x,,,x,x,
Delete,Comment,Organization,"Project owner, Task owner, Project assignee, Task assignee, Job assignee, Owner, Issue owner",,DELETE,/comments/{id},Worker,Worker,,x,x,x,x,x,x,x,x,
List,Comment,Sandbox,None,,GET,/issues/{id}/comments,Admin,N/A,,,,,x,,,,,
List,Comment,Sandbox,"Project owner, Task owner, Project assignee, Task assignee, Job assignee, Owner, Issue owner",,GET,/issues/{id}/comments,None,N/A,x,x,x,x,x,,,,,
List,Comment,Organization,None,,GET,/issues/{id}/comments,User,Maintainer,,,x,x,x,,,x,x,
List,Comment,Organization,"Project owner, Task owner, Project assignee, Task assignee, Job assignee, Owner, Issue owner",,GET,/issues/{id}/comments,None,Worker,x,x,x,x,x,x,x,x,x,
