Scope,Resource,Context,Ownership,Limit,Method,URL,Privilege,Membership
list,DatasetRepo,Sandbox,N/A,,GET,/datasetrepo,None,N/A
list,DatasetRepo,Organization,N/A,,GET,/datasetrepo,None,Worker
create@task,"DatasetRepo, Task",Sandbox,N/A,,POST,/datasetrepo,Admin,N/A
create@task,"DatasetRepo, Task",Sandbox,"Task:owner",,POST,/datasetrepo,Worker,N/A
create@task,"DatasetRepo, Task",Organization,N/A,,POST,/datasetrepo,User,Maintainer
create@task,"DatasetRepo, Task",Organization,"Task:owner",,POST,/datasetrepo,Worker,Worker
view,DatasetRepo,Sandbox,None,,GET,"/datasetrepo/{task_id}, /datasetrepo/{task_id}/push, /datasetrepo/{rq_id}/status",Admin,N/A
view,DatasetRepo,Sandbox,Owner,,GET,"/datasetrepo/{task_id}, /datasetrepo/{task_id}/push, /datasetrepo/{rq_id}/status",None,N/A
view,DatasetRepo,Organization,Owner,,GET,"/datasetrepo/{task_id}, /datasetrepo/{task_id}/push, /datasetrepo/{rq_id}/status",None,Worker
view,DatasetRepo,Organization,None,,GET,/datasetrepo/{task_id},User,Supervisor
update,DatasetRepo,Sandbox,None,,PATCH,/datasetrepo/{task_id},Admin,N/A
update,DatasetRepo,Sandbox,Owner,,PATCH,/datasetrepo/{task_id},Worker,N/A
update,DatasetRepo,Organization,Owner,,PATCH,/datasetrepo/{task_id},Worker,Worker
update,DatasetRepo,Organization,None,,PATCH,/datasetrepo/{task_id},User,Maintainer
