Scope,Resource,Context,Ownership,Limit,Method,URL,Privilege,Membership
create,Project,Sandbox,N/A,3,POST,/projects,User,N/A
create,Project,Organization,N/A,3,POST,/projects,User,Supervisor
create,Project,Sandbox,N/A,,POST,/projects,Business,N/A
create,Project,Organization,N/A,,POST,/projects,Business,Supervisor
list,Project,Sandbox,N/A,"filter(organization=None, ownership=[""Owner"", ""Assignee""])",GET,/projects,None,N/A
list,Project,Organization,N/A,filter(organization),GET,/projects,None,Worker
view,Project,Sandbox,None,,GET,/projects/{id},Admin,N/A
view,Project,N/A,"Owner, Assignee",,GET,/projects/{id},None,N/A
view,Project,Organization,Organization,,GET,/projects/{id},None,Worker
delete,Project,Sandbox,"None, Assignee",,DELETE,/projects/{id},Admin,N/A
delete,Project,N/A,Owner,,DELETE,/projects/{id},Worker,N/A
delete,Project,Organization,"Organization, Assignee",,DELETE,/projects/{id},User,Maintainer
update:desc,Project,Sandbox,None,,PATCH,/projects/{id},Admin,N/A
update:desc,Project,N/A,"Owner, Assignee",,PATCH,/projects/{id},Worker,N/A
update:desc,Project,Organization,Organization,,PATCH,/projects/{id},User,Maintainer
update:assignee,Project,Sandbox,"None, Assignee",,PATCH,/projects/{id},Admin,N/A
update:assignee,Project,N/A,Owner,,PATCH,/projects/{id},Worker,N/A
update:assignee,Project,Organization,"Organization, Assignee",,PATCH,/projects/{id},User,Maintainer
update:owner,Project,Sandbox,None,,PATCH,/projects/{id},Admin,N/A
update:owner,Project,Organization,"Organization, Assignee",,PATCH,/projects/{id},User,Maintainer
update:owner,Project,Organization,Owner,,PATCH,/projects/{id},Worker,Maintainer
