Scope,Resource,Context,Ownership,Limit,Method,URL,Group,Membership,[No Role],Worker,User,Business,Admin,Worker,Supervisor,Maintainer,Owner,Comment
Create outside a project,Task,Sandbox,N/A,10,POST,/tasks,User,N/A,,,x,x,x,,,,,
Create outside a project,Task,Sandbox,N/A,10,GET,/tasks/{id}/status,User,N/A,,,x,x,x,,,,,
Create outside a project,Task,Organization,N/A,10,POST,/tasks,User,Supervisor,,,x,x,x,,x,x,x,
Create outside a project,Task,Organization,N/A,10,GET,/tasks/{id}/status,User,Supervisor,,,x,x,x,,x,x,x,
Create outside a project,Task,Sandbox,N/A,,POST,/tasks,Business,N/A,,,,x,x,,,,,
Create outside a project,Task,Sandbox,N/A,,GET,/tasks/{id}/status,Business,N/A,,,,x,x,,,,,
Create outside a project,Task,Organization,N/A,,POST,/tasks,Business,Supervisor,,,,x,x,,x,x,x,
Create outside a project,Task,Organization,N/A,,GET,/tasks/{id}/status,Business,Supervisor,,,,x,x,,x,x,x,
Create inside a project,Task,Sandbox,None,,POST,/tasks,Admin,N/A,,,,,x,,,,,
Create inside a project,Task,Sandbox,None,,GET,/tasks/{id}/status,Admin,N/A,,,,,x,,,,,
Create inside a project,Task,Sandbox,"Project owner, project assignee",10,POST,/tasks,Worker,N/A,,x,x,x,x,,,,,
Create inside a project,Task,Sandbox,"Project owner, project assignee",10,GET,/tasks/{id}/status,Worker,N/A,,x,x,x,x,,,,,
Create inside a project,Task,Organization,None,10,POST,/tasks,User,Maintainer,,,x,x,x,,,x,x,
Create inside a project,Task,Organization,None,10,GET,/tasks/{id}/status,User,Maintainer,,,x,x,x,,,x,x,
Create inside a project,Task,Organization,"Project owner, project assignee",10,POST,/tasks,Worker,Worker,,x,x,x,x,x,x,x,x,
Create inside a project,Task,Organization,"Project owner, project assignee",10,GET,/tasks/{id}/status,Worker,Worker,,x,x,x,x,x,x,x,x,
Create inside a project,Task,Sandbox,"Project owner, project assignee",,POST,/tasks,Business,N/A,,,,x,x,,,,,
Create inside a project,Task,Sandbox,"Project owner, project assignee",,GET,/tasks/{id}/status,Business,N/A,,,,x,x,,,,,
Create inside a project,Task,Organization,None,,POST,/tasks,Business,Maintainer,,,,x,x,,,x,x,
Create inside a project,Task,Organization,None,,GET,/tasks/{id}/status,Business,Maintainer,,,,x,x,,,x,x,
Create inside a project,Task,Organization,"Project owner, project assignee",,POST,/tasks,Business,Worker,,,,x,x,x,x,x,x,
Create inside a project,Task,Organization,"Project owner, project assignee",,GET,/tasks/{id}/status,Business,Worker,,,,x,x,x,x,x,x,
View,Task,Sandbox,None,,GET,/tasks/{id},Admin,N/A,,,,,x,,,,,
View,Task,Sandbox,"Owner, Project owner",,GET,/tasks/{id},None,N/A,x,x,x,x,x,,,,,
View,Task,Sandbox,"Assignee, Project assignee",,GET,/tasks/{id},None,N/A,x,x,x,x,x,,,,,
View,Task,Organization,None,,GET,/tasks/{id},User,Maintainer,,,x,x,x,,,x,x,
View,Task,Organization,"Owner, Project owner",,GET,/tasks/{id},None,Worker,x,x,x,x,x,x,x,x,x,
View,Task,Organization,"Assignee, Project assignee",,GET,/tasks/{id},None,Worker,x,x,x,x,x,x,x,x,x,
List,Task,Sandbox,None,,GET,"/tasks, /projects/{id}/tasks",Admin,N/A,,,,,x,,,,,It should correspond to action = Get a task
List,Task,Sandbox,"Owner, Project owner",,GET,"/tasks, /projects/{id}/tasks",None,N/A,x,x,x,x,x,,,,,
List,Task,Sandbox,"Assignee, Project assignee",,GET,"/tasks, /projects/{id}/tasks",None,N/A,x,x,x,x,x,,,,,
List,Task,Organization,None,,GET,"/tasks, /projects/{id}/tasks",User,Maintainer,,,x,x,x,,,x,x,
List,Task,Organization,"Owner, Project owner",,GET,"/tasks, /projects/{id}/tasks",None,Worker,x,x,x,x,x,x,x,x,x,
List,Task,Organization,"Assignee, Project assignee",,GET,"/tasks, /projects/{id}/tasks",None,Worker,x,x,x,x,x,x,x,x,x,
"Update description, labels",Task,Sandbox,None,,PATCH,/tasks/{id},Admin,N/A,,,,,x,,,,,
"Update description, labels",Task,Sandbox,"Owner, Project owner",,PATCH,/tasks/{id},Worker,N/A,,x,x,x,x,,,,,
"Update description, labels",Task,Sandbox,"Assignee, Project assignee",,PATCH,/tasks/{id},Worker,N/A,,x,x,x,x,,,,,
"Update description, labels",Task,Organization,None,,PATCH,/tasks/{id},User,Maintainer,,,x,x,x,,,x,x,
"Update description, labels",Task,Organization,"Owner, Project owner",,PATCH,/tasks/{id},Worker,Worker,,x,x,x,x,x,x,x,x,
"Update description, labels",Task,Organization,"Assignee, Project assignee",,PATCH,/tasks/{id},Worker,Worker,,x,x,x,x,x,x,x,x,
Update the project,Task,Sandbox,None,,PATCH,/tasks/{id},Admin,N/A,,,,,x,,,,,
Update the project,Task,Sandbox,"Owner, Project owner",,PATCH,/tasks/{id},Worker,N/A,,x,x,x,x,,,,,
Update the project,Task,Sandbox,"Assignee, Project assignee",,PATCH,/tasks/{id},Admin,N/A,,,,,x,,,,,
Update the project,Task,Organization,None,,PATCH,/tasks/{id},User,Maintainer,,,x,x,x,,,x,x,
Update the project,Task,Organization,"Owner, Project owner",,PATCH,/tasks/{id},Worker,Worker,,x,x,x,x,x,x,x,x,
