Scope,Resource,Context,Ownership,Limit,Method,URL,Privilege,Membership
create@project,Webhook,Sandbox,N/A,,POST,webhooks,Admin,N/A
create@project,Webhook,Sandbox,Project:owner,resource['num_resources'] < 10,POST,webhooks,Worker,N/A
create@project,Webhook,Organization,N/A,resource['num_resources'] < 10,POST,webhooks,Worker,maintainer
create@project,Webhook,Organization,Project:owner,resource['num_resources'] < 10,POST,webhooks,Worker,Worker
create@organization,Webhook,Organization,N/A,,POST,webhooks,Admin,N/A
create@organization,Webhook,Organization,N/A,resource['num_resources'] < 10,POST,webhooks,Worker,maintainer
update,Webhook,Sandbox,N/A,,PATCH,webhooks/{id},Admin,N/A
update,Webhook,Sandbox,"Project:owner, owner",,PATCH,webhooks/{id},Worker,N/A
update,Webhook,Organization,N/A,,PATCH,webhooks/{id},Worker,maintainer
update,Webhook,Organization,"Project:owner, owner",,PATCH,webhooks/{id},Worker,Worker
delete,Webhook,Sandbox,N/A,,DELETE,webhooks/{id},Admin,N/A
delete,Webhook,Sandbox,"Project:owner, owner",,DELETE,webhooks/{id},Worker,N/A
delete,Webhook,Organization,N/A,,DELETE,webhooks/{id},Worker,maintainer
delete,Webhook,Organization,"Project:owner, owner",,DELETE,webhooks/{id},Worker,Worker
view,Webhook,Sandbox,N/A,,GET,webhooks/{id},Admin,N/A
view,Webhook,Sandbox,"Project:owner, owner",,GET,webhooks/{id},Worker,N/A
view,Webhook,Organization,N/A,,GET,webhooks/{id},Worker,maintainer
view,Webhook,Organization,"Project:owner, owner",,GET,webhooks/{id},Worker,Worker
