Scope,Resource,Context,Ownership,Limit,Method,URL,Privilege,Membership
LIST,Invitation,Sandbox,N/A,"filter(organization=None, ownership=None)",GET,/invitations,Admin,N/A
LIST,Invitation,Sandbox,N/A,"filter(organization=None, ownership=[""owner"", ""invitee""])",GET,/invitations,None,N/A
LIST,Invitation,Organization,N/A,"filter(organization=organization, ownership=[""owner"", ""invitee""])",GET,/invitations,None,Worker
LIST,Invitation,Organization,N/A,filter(organization=organization),GET,/invitations,User,Maintainer
CREATE,Invitation,Sandbox,N/A,,POST,/invitations,Admin,N/A
CREATE,Invitation,Organization,N/A,"resource[""role""] not in [""maintainer"", ""owner""]",POST,/invitations,User,Maintainer
CREATE,Invitation,Organization,N/A,"resource[""role""] != ""owner""",POST,/invitations,User,Owner
VIEW,Invitation,Sandbox,None,,GET,/invitations/{id},Admin,N/A
VIEW,Invitation,Sandbox,"Owner, Invitee",,GET,/invitations/{id},None,N/A
VIEW,Invitation,Organization,None,,GET,/invitations/{id},User,Maintainer
VIEW,Invitation,Organization,"Owner, Invitee",,GET,/invitations/{id},None,Worker
RESEND,Invitation,Sandbox,"None, Invitee",,PATCH,/invitations/{id},Admin,N/A
RESEND,Invitation,Sandbox,Owner,,PATCH,/invitations/{id},Worker,N/A
RESEND,Invitation,Organization,"None, Invitee",,PATCH,/invitations/{id},User,Maintainer
RESEND,Invitation,Organization,Owner,,PATCH,/invitations/{id},Worker,Worker
DELETE,Invitation,Sandbox,"None, Invitee",,DELETE,/invitations/{id},Admin,N/A
DELETE,Invitation,Sandbox,Owner,,DELETE,/invitations/{id},Worker,N/A
DELETE,Invitation,Organization,"None, Invitee",,DELETE,/invitations/{id},User,Maintainer
DELETE,Invitation,Organization,Owner,,DELETE,/invitations/{id},Worker,Worker
ACCEPT,Invitation,N/A,None,,PATCH,/invitations/{id},Admin,N/A
ACCEPT,Invitation,N/A,Invitee,,PATCH,/invitations/{id},None,N/A
