Scope,Resource,Context,Ownership,Limit,Method,URL,Group,Membership,[No Role],Worker,User,Business,Admin,Worker,Supervisor,Maintainer,Owner,Comment
Create,Issue,Sandbox,None,,POST,/issues,Admin,N/A,,,,,x,,,,,
Create,Issue,Sandbox,"Project owner, Task owner, Project assignee, Task assignee, Job assignee",,POST,/issues,Worker,N/A,,x,x,x,x,,,,,
Create,Issue,Organization,None,,POST,/issues,User,Maintainer,,,x,x,x,,,x,x,
Create,Issue,Organization,"Project owner, Task owner, Project assignee, Task assignee, Job assignee",,POST,/issues,Worker,Worker,,x,x,x,x,x,x,x,x,
Update frame or position,Issue,Sandbox,None,,PATCH,/issues/{id},Admin,N/A,,,,,x,,,,,
Update frame or position,Issue,Sandbox,"Project owner, Task owner, Project assignee, Task assignee, Job assignee, Owner",,PATCH,/issues/{id},Worker,Worker,,x,x,x,x,x,x,x,x,
Update frame or position,Issue,Organization,None,,PATCH,/issues/{id},User,Maintainer,,,x,x,x,,,x,x,
Update frame or position,Issue,Organization,"Project owner, Task owner, Project assignee, Task assignee, Job assignee, Owner",,PATCH,/issues/{id},Worker,Worker,,x,x,x,x,x,x,x,x,
Delete,Issue,Sandbox,None,,DELETE,/issues/{id},Admin,N/A,,,,,x,,,,,
Delete,Issue,Sandbox,"Project owner, Task owner, Project assignee, Task assignee, Job assignee, Owner",,DELETE,/issues/{id},Worker,N/A,,x,x,x,x,,,,,
Delete,Issue,Organization,None,,DELETE,/issues/{id},User,Maintainer,,,x,x,x,,,x,x,
Delete,Issue,Organization,"Project owner, Task owner, Project assignee, Task assignee, Job assignee, Owner",,DELETE,/issues/{id},Worker,Worker,,x,x,x,x,x,x,x,x,
List,Issue,Sandbox,None,,GET,/jobs/{id}/issues,Admin,N/A,,,,,x,,,,,
List,Issue,Sandbox,"Project owner, Task owner, Project assignee, Task assignee, Job assignee, Owner",,GET,/jobs/{id}/issues,None,N/A,x,x,x,x,x,,,,,
List,Issue,Organization,None,,GET,/jobs/{id}/issues,User,Maintainer,,,x,x,x,,,x,x,
List,Issue,Organization,"Project owner, Task owner, Project assignee, Task assignee, Job assignee, Owner",,GET,/jobs/{id}/issues,None,Worker,x,x,x,x,x,x,x,x,x,
