Scope,Resource,Context,Ownership,Limit,Method,URL,Group,Membership
CREATE,Organization,N/A,N/A,num_resources = 1,POST,/organizations,Group,N/A
CREATE,Organization,N/A,N/A,,POST,/organizations,Business,N/A
LIST,Organization,N/A,Member,,GET,/organizations,None,N/A
LIST,Organization,N/A,None,,GET,/organizations,Admin,N/A
VIEW,Organization,N/A,Member,,GET,/organizations/{id},None,N/A
VIEW,Organization,N/A,None,,GET,/organizations/{id},Admin,N/A
UPDATE,Organization,N/A,Owner,,PATCH,/organizations/{id},Worker,N/A
UPDATE,Organization,N/A,Maintainer,,PATCH,/organizations/{id},User,N/A
UPDATE,Organization,N/A,"None, Member",,PATCH,/organizations/{id},Admin,N/A
DELETE,Organization,N/A,Owner,,DELETE,/organizations/{id},Worker,N/A
DELETE,Organization,N/A,"None, Member",,DELETE,/organizations/{id},Admin,N/A
